id,active_ingredient,brand_name,manufacturer,therapeutic_group,pharmacological_class,drug_type,strength,dosage_form,route,indication,indication_category,side_effects,pregnancy_category,controlled_substance,otc_or_rx,food_interaction,alcohol_interaction,num_ingredients,is_combination_drug
4542,Atorvastatin,Storvas,Beximco,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
4543,Ibuprofen,Brufen,Square,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
4544,Insulin Glargine,Toujeo,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
4545,Amlodipine,Amlogard,Square,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Capsule,Oral,Angina,Cardiovascular,Headache,C,No,RX,1,1,1,0
4546,Lisinopril,Lisinace,Merck,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Post-MI,Cardiovascular,Headache,D,No,RX,0,1,1,0
4547,Paracetamol,Ace,Incepta,Analgesic,Para-aminophenol,Small molecule,1000 mg,Syrup,Oral,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
4548,Amoxicillin + Clavulanate,Clavam,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Respiratory infection,Infectious,Vomiting,B,No,RX,0,0,2,1
4549,Amoxicillin + Clavulanate,Moxaclave,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
4550,Fluoxetine,Flutin,Renata,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Panic disorder,Neurological,Dizziness,C,No,RX,0,1,1,0
4551,Amoxicillin + Clavulanate,Augmentin,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
4552,Paracetamol,Napa,Square,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Capsule,Oral,Fever,General,Nausea,A,No,OTC,0,1,1,0
4553,Losartan,Cozaar,Novartis,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
4554,Lisinopril,Lisinace,Merck,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
4555,Ibuprofen,Profen,Renata,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Fever,General,Dizziness,D,No,OTC,1,1,1,0
4556,Lisinopril,Listril,Merck,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4557,Ibuprofen,Advil,Renata,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Inflammation,General,Gastric irritation,D,No,OTC,1,1,1,0
4558,Metformin,Obimet,Incepta,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
4559,Fluoxetine,Prozac,Renata,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Depression,Neurological,Nausea,C,No,RX,0,1,1,0
4560,Salbutamol,Brodil,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Oral,COPD,Respiratory,Tremor,C,No,RX,0,0,1,0
4561,Omeprazole,Losectil,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,IV,Peptic ulcer,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
4562,Cetirizine,Zyrtec,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Allergic rhinitis,General,Drowsiness,B,No,OTC,0,1,1,0
4563,Fluoxetine,Depzac,Eli Lilly,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Depression,Neurological,Nausea,C,No,RX,0,1,1,0
4564,Paracetamol,Renova,Incepta,Analgesic,Para-aminophenol,Small molecule,1000 mg,Tablet,IV,Fever,General,Nausea,A,No,OTC,0,1,1,0
4565,Amoxicillin + Clavulanate,Augmentin,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Syrup,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
4566,Atorvastatin,Storvas,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
4567,Omeprazole,Seclo,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,IV,Peptic ulcer,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
4568,Lisinopril,Prinivil,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4569,Omeprazole,Omepra,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,Oral,GERD,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
4570,Cetirizine,Cetrizin,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Urticaria,General,Drowsiness,B,No,OTC,0,1,1,0
4571,Amlodipine,Amlogard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Tablet,Oral,Angina,Cardiovascular,Edema,C,No,RX,1,1,1,0
4572,Metformin,Obimet,Square,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
4573,Atorvastatin,Lipitor,Square,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
4574,Salbutamol,Ventolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Oral,COPD,Respiratory,Tachycardia,C,No,RX,0,0,1,0
4575,Omeprazole,Omepra,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,20 mg,Injection,Oral,GERD,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
4576,Insulin Glargine,Basalin,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
4577,Omeprazole,Seclo,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,40 mg,Tablet,Oral,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
4578,Insulin Glargine,Toujeo,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
4579,Ciprofloxacin,Cipro,Renata,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Tablet,Oral,Urinary tract infection,Infectious,Headache,C,No,RX,1,0,1,0
4580,Amoxicillin + Clavulanate,Augmentin,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Sinusitis,Infectious,Rash,B,No,RX,0,0,2,1
4581,Amlodipine,Norvasc,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
4582,Cetirizine,Rinil,ACI,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Allergic rhinitis,General,Headache,B,No,OTC,0,1,1,0
4583,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4584,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,5 mg,Tablet,Oral,Allergy,General,Dry mouth,B,No,OTC,0,1,1,0
4585,Ciprofloxacin,Flocin,Renata,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Injection,Oral,Respiratory infection,Infectious,Headache,C,No,RX,1,0,1,0
4586,Losartan,Losacar,Square,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4587,Atorvastatin,Atorin,Pfizer,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
4588,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Hypertension,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
4589,Ciprofloxacin,Ciprosin,Renata,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Tablet,Oral,Respiratory infection,Infectious,Dizziness,C,No,RX,1,0,1,0
4590,Paracetamol,Ace,Beximco,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Tablet,Oral,Pain,General,Nausea,A,No,OTC,0,1,1,0
4591,Lisinopril,Prinivil,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Post-MI,Cardiovascular,Headache,D,No,RX,0,1,1,0
4592,Losartan,Losacar,MSD,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
4593,Lisinopril,Lisinace,Square,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Post-MI,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
4594,Paracetamol,Renova,Beximco,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Tablet,IV,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
4595,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,Oral,Acid reflux,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
4596,Losartan,Cozaar,MSD,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4597,Salbutamol,Sultolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,Asthma,Respiratory,Tremor,C,No,RX,0,0,1,0
4598,Azithromycin,Azithrin,ACI,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Tablet,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,1,0
4599,Paracetamol,Ace,Incepta,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Tablet,IV,Pain,General,Rash,A,No,OTC,0,1,1,0
4600,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
4601,Salbutamol,Brodil,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,Asthma,Respiratory,Tachycardia,C,No,RX,0,0,1,0
4602,Salbutamol,Brodil,ACI,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Tablet,Inhalation,COPD,Respiratory,Palpitation,C,No,RX,0,0,1,0
4603,Metformin,Formet,ACI,Antidiabetic,Biguanide,Small molecule,850 mg,Capsule,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
4604,Atorvastatin,Lipitor,Renata,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
4605,Cetirizine,Zyrtec,Incepta,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergic rhinitis,General,Dry mouth,B,No,OTC,0,1,1,0
4606,Ciprofloxacin,Flocin,Bayer,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Syrup,Oral,Urinary tract infection,Infectious,Headache,C,No,RX,1,0,1,0
4607,Salbutamol,Ventolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Inhaler,Oral,Bronchospasm,Respiratory,Tremor,C,No,RX,0,0,1,0
4608,Omeprazole,Omepra,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,Oral,Acid reflux,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
4609,Ciprofloxacin,Ciprosin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Syrup,Oral,Respiratory infection,Infectious,Dizziness,C,No,RX,1,0,1,0
4610,Cetirizine,Zyrtec,Incepta,Antihistamine,H1 antagonist,Small molecule,5 mg,Syrup,Oral,Allergy,General,Fatigue,B,No,OTC,0,1,1,0
4611,Salbutamol,Salbu,GSK,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,Bronchospasm,Respiratory,Headache,C,No,RX,0,0,1,0
4612,Azithromycin,Azit,Square,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Respiratory infection,Infectious,Vomiting,B,No,RX,0,0,1,0
4613,Azithromycin,Azithrin,Pfizer,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Syrup,Oral,Skin infection,Infectious,Nausea,B,No,RX,0,0,1,0
4614,Atorvastatin,Atocor,Square,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
4615,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Urticaria,General,Fatigue,B,No,OTC,0,1,1,0
4616,Lisinopril,Prinivil,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Heart failure,Cardiovascular,Headache,D,No,RX,0,1,1,0
4617,Metformin,Formet,Beximco,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Diabetes,Endocrine,Nausea,B,No,RX,1,1,1,0
4618,Paracetamol,Tylenol,ACI,Analgesic,Para-aminophenol,Small molecule,1000 mg,Syrup,Oral,Pain,General,Nausea,A,No,OTC,0,1,1,0
4619,Fluoxetine,Prozac,Beximco,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,OCD,Neurological,Insomnia,C,No,RX,0,1,1,0
4620,Cetirizine,Rinil,ACI,Antihistamine,H1 antagonist,Small molecule,5 mg,Syrup,Oral,Urticaria,General,Drowsiness,B,No,OTC,0,1,1,0
4621,Omeprazole,Omepra,Square,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,Oral,Peptic ulcer,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
4622,Cetirizine,Alatrol,Incepta,Antihistamine,H1 antagonist,Small molecule,5 mg,Tablet,Oral,Allergic rhinitis,General,Drowsiness,B,No,OTC,0,1,1,0
4623,Amoxicillin + Clavulanate,Amoclav,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Sinusitis,Infectious,Rash,B,No,RX,0,0,2,1
4624,Fluoxetine,Fluoxin,Renata,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Panic disorder,Neurological,Insomnia,C,No,RX,0,1,1,0
4625,Insulin Glargine,Toujeo,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
4626,Metformin,Glucophage,Incepta,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
4627,Metformin,Glucophage,Incepta,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Diabetes,Endocrine,Vomiting,B,No,RX,1,1,1,0
4628,Amlodipine,Amdocal,Renata,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Capsule,Oral,Hypertension,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
4629,Cetirizine,Alatrol,Square,Antihistamine,H1 antagonist,Small molecule,5 mg,Tablet,Oral,Urticaria,General,Dry mouth,B,No,OTC,0,1,1,0
4630,Amlodipine,Norvasc,Renata,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Tablet,Oral,Angina,Cardiovascular,Flushing,C,No,RX,1,1,1,0
4631,Azithromycin,Azithrin,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Capsule,Oral,Skin infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
4632,Azithromycin,Azithrin,Pfizer,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Capsule,Oral,Skin infection,Infectious,Nausea,B,No,RX,0,0,1,0
4633,Cetirizine,Rinil,Square,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergy,General,Drowsiness,B,No,OTC,0,1,1,0
4634,Atorvastatin,Atorin,Pfizer,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
4635,Salbutamol,Brodil,ACI,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,COPD,Respiratory,Headache,C,No,RX,0,0,1,0
4636,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,5 mg,Tablet,Oral,Allergy,General,Drowsiness,B,No,OTC,0,1,1,0
4637,Cetirizine,Zyrtec,Incepta,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Urticaria,General,Headache,B,No,OTC,0,1,1,0
4638,Ibuprofen,Advil,Incepta,Analgesic,NSAID,Small molecule,400 mg,Capsule,Oral,Inflammation,General,Headache,D,No,OTC,1,1,1,0
4639,Losartan,Cozaar,Novartis,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
4640,Ibuprofen,Profen,Renata,Analgesic,NSAID,Small molecule,200 mg,Tablet,Oral,Pain,General,Headache,D,No,OTC,1,1,1,0
4641,Insulin Glargine,Lantus,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
4642,Cetirizine,Cetrizin,ACI,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergy,General,Fatigue,B,No,OTC,0,1,1,0
4643,Azithromycin,Zithromax,Incepta,Antibiotic,Macrolide,Small molecule,500 mg,Syrup,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,1,0
4644,Ciprofloxacin,Cipro,Renata,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Syrup,IV,Urinary tract infection,Infectious,Dizziness,C,No,RX,1,0,1,0
4645,Losartan,Losatin,Square,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Hypertension,Cardiovascular,Cough,D,No,RX,0,1,1,0
4646,Salbutamol,Ventolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Oral,Bronchospasm,Respiratory,Tremor,C,No,RX,0,0,1,0
4647,Amoxicillin + Clavulanate,Clavam,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
4648,Cetirizine,Rinil,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Allergy,General,Headache,B,No,OTC,0,1,1,0
4649,Ibuprofen,Brufen,Square,Analgesic,NSAID,Small molecule,200 mg,Capsule,Oral,Fever,General,Dizziness,D,No,OTC,1,1,1,0
4650,Atorvastatin,Lipitor,Beximco,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Nausea,X,No,RX,1,1,1,0
4651,Losartan,Losacar,Novartis,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
4652,Paracetamol,Napa,Renata,Analgesic,Para-aminophenol,Small molecule,1000 mg,Tablet,IV,Pain,General,Rash,A,No,OTC,0,1,1,0
4653,Amoxicillin + Clavulanate,Clavam,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Respiratory infection,Infectious,Rash,B,No,RX,0,0,2,1
4654,Lisinopril,Listril,Renata,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Post-MI,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4655,Ibuprofen,Advil,ACI,Analgesic,NSAID,Small molecule,400 mg,Tablet,Oral,Inflammation,General,Headache,D,No,OTC,1,1,1,0
4656,Ibuprofen,Profen,Square,Analgesic,NSAID,Small molecule,600 mg,Syrup,Oral,Inflammation,General,Dizziness,D,No,OTC,1,1,1,0
4657,Ciprofloxacin,Bacquinor,Incepta,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Injection,Oral,Respiratory infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
4658,Ciprofloxacin,Cipro,Square,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Syrup,IV,Urinary tract infection,Infectious,Nausea,C,No,RX,1,0,1,0
4659,Salbutamol,Brodil,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Tablet,Oral,COPD,Respiratory,Palpitation,C,No,RX,0,0,1,0
4660,Paracetamol,Napa,Square,Analgesic,Para-aminophenol,Small molecule,1000 mg,Tablet,Oral,Fever,General,Rash,A,No,OTC,0,1,1,0
4661,Amoxicillin + Clavulanate,Amoclav,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Sinusitis,Infectious,Diarrhea,B,No,RX,0,0,2,1
4662,Metformin,Glycomet,Beximco,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
4663,Ibuprofen,Nurofen,Square,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Fever,General,Gastric irritation,D,No,OTC,1,1,1,0
4664,Paracetamol,Napa,Renata,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Tablet,Oral,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
4665,Paracetamol,Panadol,Renata,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Syrup,IV,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
4666,Lisinopril,Listril,Merck,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Hypertension,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4667,Salbutamol,Ventolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Oral,Bronchospasm,Respiratory,Tremor,C,No,RX,0,0,1,0
4668,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
4669,Losartan,Losacar,Square,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
4670,Insulin Glargine,Glaritus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
4671,Fluoxetine,Flutin,Renata,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,OCD,Neurological,Insomnia,C,No,RX,0,1,1,0
4672,Atorvastatin,Lipitor,Pfizer,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
4673,Ibuprofen,Profen,Square,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Fever,General,Nausea,D,No,OTC,1,1,1,0
4674,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
4675,Atorvastatin,Storvas,Square,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Nausea,X,No,RX,1,1,1,0
4676,Fluoxetine,Fluoxin,Renata,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,OCD,Neurological,Headache,C,No,RX,0,1,1,0
4677,Losartan,Losacar,Novartis,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
4678,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
4679,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Vomiting,B,No,RX,1,1,1,0
4680,Atorvastatin,Atorin,Renata,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
4681,Azithromycin,Azit,Square,Antibiotic,Macrolide,Small molecule,250 mg,Capsule,Oral,Skin infection,Infectious,Nausea,B,No,RX,0,0,1,0
4682,Paracetamol,Napa,Beximco,Analgesic,Para-aminophenol,Small molecule,1000 mg,Syrup,Oral,Fever,General,Nausea,A,No,OTC,0,1,1,0
4683,Metformin,Formet,ACI,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Vomiting,B,No,RX,1,1,1,0
4684,Amlodipine,Amcard,Renata,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Capsule,Oral,Hypertension,Cardiovascular,Headache,C,No,RX,1,1,1,0
4685,Insulin Glargine,Basalin,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
4686,Lisinopril,Prinivil,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Heart failure,Cardiovascular,Headache,D,No,RX,0,1,1,0
4687,Metformin,Formet,Square,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
4688,Ciprofloxacin,Flocin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Tablet,IV,Infection,Infectious,Dizziness,C,No,RX,1,0,1,0
4689,Metformin,Obimet,Beximco,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Nausea,B,No,RX,1,1,1,0
4690,Paracetamol,Renova,Beximco,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Syrup,Oral,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
4691,Salbutamol,Salbu,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,Asthma,Respiratory,Headache,C,No,RX,0,0,1,0
4692,Omeprazole,Losectil,Square,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,IV,Peptic ulcer,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
4693,Fluoxetine,Prozac,Beximco,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Depression,Neurological,Dizziness,C,No,RX,0,1,1,0
4694,Cetirizine,Cetrizin,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Urticaria,General,Drowsiness,B,No,OTC,0,1,1,0
